#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NR2C1	RARB	1851567	1851458	9606.ENSP00000333275	9606.ENSP00000332296	0	0	0	0.684	0	0	0.900	0.562	0.917
NR2C1	NR2F1	1851567	1850774	9606.ENSP00000333275	9606.ENSP00000325819	0	0	0	0.723	0	0	0.900	0.635	0.917
RXRG	RORC	1853910	1850886	9606.ENSP00000352900	9606.ENSP00000327025	0	0	0	0.668	0	0	0.900	0.508	0.916
NR4A1	ESR2	1853979	1852756	9606.ENSP00000353427	9606.ENSP00000343925	0	0	0	0.704	0	0.106	0.900	0.385	0.916
NR2C1	RORC	1851567	1850886	9606.ENSP00000333275	9606.ENSP00000327025	0	0	0	0.654	0	0	0.900	0.501	0.916
RARB	NR0B2	1851458	1844279	9606.ENSP00000332296	9606.ENSP00000254227	0	0	0	0	0	0	0.900	0.181	0.914
NR4A2	ESR2	1852822	1852756	9606.ENSP00000344479	9606.ENSP00000343925	0	0	0	0.690	0	0.106	0.900	0.302	0.914
RARB	NR2F1	1851458	1850774	9606.ENSP00000332296	9606.ENSP00000325819	0	0	0	0.755	0	0	0.900	0.609	0.914
NR4A1	RARA	1853979	1844268	9606.ENSP00000353427	9606.ENSP00000254066	0	0	0	0.779	0	0.106	0.900	0.403	0.914
NR2C1	NR0B2	1851567	1844279	9606.ENSP00000333275	9606.ENSP00000254227	0	0	0	0.696	0	0	0.900	0.458	0.913
ESR2	RORC	1852756	1850886	9606.ENSP00000343925	9606.ENSP00000327025	0	0	0	0.631	0	0	0.900	0.388	0.913
RXRG	NR2C1	1853910	1851567	9606.ENSP00000352900	9606.ENSP00000333275	0	0	0	0.703	0	0	0.900	0.433	0.912
NR4A1	RORC	1853979	1850886	9606.ENSP00000353427	9606.ENSP00000327025	0	0	0	0.650	0	0.073	0.900	0.297	0.912
RORC	RARA	1850886	1844268	9606.ENSP00000327025	9606.ENSP00000254066	0	0	0	0.673	0	0	0.900	0.374	0.911
RARB	RORC	1851458	1850886	9606.ENSP00000332296	9606.ENSP00000327025	0	0	0	0.679	0	0	0.900	0.388	0.911
NR4A1	RARB	1853979	1851458	9606.ENSP00000353427	9606.ENSP00000332296	0	0	0	0.793	0	0.106	0.900	0.294	0.911
HNF4G	RARB	1858394	1851458	9606.ENSP00000379701	9606.ENSP00000332296	0	0	0	0.746	0	0.075	0.900	0.362	0.911
HNF4G	NR2F1	1858394	1850774	9606.ENSP00000379701	9606.ENSP00000325819	0	0	0	0.833	0	0.075	0.900	0.480	0.910
NR4A2	RORC	1852822	1850886	9606.ENSP00000344479	9606.ENSP00000327025	0	0	0	0.650	0	0.073	0.900	0.235	0.910
ESR2	RARB	1852756	1851458	9606.ENSP00000343925	9606.ENSP00000332296	0	0	0	0.703	0	0	0.900	0.391	0.910
HNF4G	RARA	1858394	1844268	9606.ENSP00000379701	9606.ENSP00000254066	0	0	0	0.729	0	0.075	0.900	0.313	0.910
HNF4G	ESR2	1858394	1852756	9606.ENSP00000379701	9606.ENSP00000343925	0	0	0	0.714	0	0.075	0.900	0.249	0.909
ESR2	RARA	1852756	1844268	9606.ENSP00000343925	9606.ENSP00000254066	0	0	0	0.706	0	0	0.900	0.345	0.909
HNF4G	RXRG	1858394	1853910	9606.ENSP00000379701	9606.ENSP00000352900	0	0	0	0.864	0	0.075	0.900	0.400	0.908
RORC	NR2F1	1850886	1850774	9606.ENSP00000327025	9606.ENSP00000325819	0	0	0	0.684	0	0	0.900	0.277	0.907
NR4A1	NR4A2	1853979	1852822	9606.ENSP00000353427	9606.ENSP00000344479	0	0	0	0.948	0.071	0	0.900	0.879	0.907
ESR2	NR2C1	1852756	1851567	9606.ENSP00000343925	9606.ENSP00000333275	0	0	0	0.636	0	0	0.900	0.237	0.907
HNF4G	NR4A2	1858394	1852822	9606.ENSP00000379701	9606.ENSP00000344479	0	0	0	0.719	0	0	0.900	0.258	0.906
ESR2	NR2F1	1852756	1850774	9606.ENSP00000343925	9606.ENSP00000325819	0	0	0	0.711	0	0	0.900	0.253	0.906
HNF4G	NR4A1	1858394	1853979	9606.ENSP00000379701	9606.ENSP00000353427	0	0	0	0.712	0	0	0.900	0.233	0.905
HNF4G	RORC	1858394	1850886	9606.ENSP00000379701	9606.ENSP00000327025	0	0	0	0.653	0	0	0.900	0.183	0.905
RXRG	ESR2	1853910	1852756	9606.ENSP00000352900	9606.ENSP00000343925	0	0	0	0.745	0	0	0.900	0.216	0.904
NR2F1	NR0B2	1850774	1844279	9606.ENSP00000325819	9606.ENSP00000254227	0	0	0	0.758	0	0	0.900	0.236	0.904
NR2C1	RARA	1851567	1844268	9606.ENSP00000333275	9606.ENSP00000254066	0	0	0	0.681	0	0	0.900	0.168	0.904
NR2F1	RARA	1850774	1844268	9606.ENSP00000325819	9606.ENSP00000254066	0	0	0	0.758	0	0	0.900	0.235	0.904
